subject,session,run,trial_in_run,cue_sample,artifact
8,T,1,1,750,0
8,T,1,2,2753,0
8,T,1,4,6623,0
8,T,1,6,10742,0
8,T,1,7,12659,0
8,T,1,8,14709,0
8,T,1,9,16640,0
8,T,1,10,18638,0
8,T,1,11,20544,0
8,T,1,13,24411,0
8,T,1,14,26355,0
8,T,1,15,28322,0
8,T,1,16,30442,0
8,T,1,17,32450,0
8,T,1,18,34516,0
8,T,1,19,36552,0
8,T,1,20,38618,0
8,T,1,22,42768,0
8,T,1,23,44680,0
8,T,1,24,46711,0
8,T,1,25,48664,0
8,T,1,26,50625,0
8,T,1,27,52729,0
8,T,1,28,54733,0
8,T,1,29,56708,0
8,T,1,30,58734,0
8,T,1,31,60805,0
8,T,1,33,65004,0
8,T,1,34,67095,0
8,T,1,35,69138,0
8,T,1,36,71202,0
8,T,1,37,73222,0
8,T,1,38,75194,0
8,T,1,39,77157,0
8,T,1,40,79082,0
8,T,1,41,81163,0
8,T,1,42,83141,0
8,T,1,43,85131,0
8,T,1,44,87250,0
8,T,1,45,89156,0
8,T,1,46,91084,0
8,T,1,47,93198,0
8,T,1,48,95257,0
8,T,2,1,750,0
8,T,2,2,2753,0
8,T,2,3,4671,0
8,T,2,4,6623,0
8,T,2,5,8631,0
8,T,2,6,10742,0
8,T,2,7,12659,0
8,T,2,8,14709,0
8,T,2,9,16640,0
8,T,2,10,18638,0
8,T,2,11,20544,0
8,T,2,13,24411,0
8,T,2,14,26355,0
8,T,2,15,28322,0
8,T,2,16,30442,0
8,T,2,18,34516,0
8,T,2,19,36552,0
8,T,2,20,38618,0
8,T,2,21,40688,0
8,T,2,22,42768,0
8,T,2,23,44680,0
8,T,2,24,46711,0
8,T,2,25,48664,0
8,T,2,26,50625,0
8,T,2,27,52729,0
8,T,2,28,54733,0
8,T,2,29,56708,0
8,T,2,30,58734,0
8,T,2,31,60805,0
8,T,2,32,62912,0
8,T,2,33,65004,0
8,T,2,35,69138,0
8,T,2,36,71202,0
8,T,2,37,73222,0
8,T,2,38,75194,0
8,T,2,39,77157,0
8,T,2,40,79082,0
8,T,2,41,81163,0
8,T,2,42,83141,0
8,T,2,43,85131,0
8,T,2,44,87250,0
8,T,2,45,89156,0
8,T,2,46,91084,0
8,T,2,47,93198,0
8,T,2,48,95257,0
8,T,3,1,750,0
8,T,3,2,2753,0
8,T,3,3,4671,0
8,T,3,4,6623,0
8,T,3,5,8631,0
8,T,3,6,10742,0
8,T,3,7,12659,0
8,T,3,9,16640,0
8,T,3,10,18638,0
8,T,3,11,20544,0
8,T,3,12,22439,0
8,T,3,13,24411,0
8,T,3,14,26355,0
8,T,3,15,28322,0
8,T,3,16,30442,0
8,T,3,17,32450,0
8,T,3,18,34516,0
8,T,3,19,36552,0
8,T,3,20,38618,0
8,T,3,21,40688,0
8,T,3,22,42768,0
8,T,3,24,46711,0
8,T,3,25,48664,0
8,T,3,27,52729,0
8,T,3,28,54733,0
8,T,3,29,56708,0
8,T,3,30,58734,0
8,T,3,31,60805,0
8,T,3,32,62912,0
8,T,3,33,65004,0
8,T,3,34,67095,0
8,T,3,35,69138,0
8,T,3,36,71202,0
8,T,3,38,75194,0
