subject,model,accuracy,kappa,n_train,n_test,majority_dummy_accuracy,fit_predict_seconds
1,CSP+LDA,0.8185053380782918,0.7578895796729288,273,281,0.2526690391459075,0.8268946999996842
1,EEGNet,0.7864768683274022,0.7154718509518023,273,281,0.2526690391459075,27.304254999999102
2,CSP+LDA,0.47703180212014135,0.30378989361702124,270,283,0.2508833922261484,0.7637119999999413
2,EEGNet,0.24734982332155478,-0.0013455596531446457,270,283,0.2508833922261484,4.545718000001216
3,CSP+LDA,0.7435897435897436,0.6577905914796841,270,273,0.2454212454212454,1.1289066999997885
3,EEGNet,0.8754578754578755,0.8338316117366942,270,273,0.2454212454212454,37.66508350000004
4,CSP+LDA,0.6228070175438597,0.49653366199352955,262,228,0.25,0.7730229000007967
4,EEGNet,0.6535087719298246,0.5369427734073731,262,228,0.25,24.266442399999505
5,CSP+LDA,0.358695652173913,0.15321280615693944,262,276,0.25,0.7669107000001532
5,EEGNet,0.2536231884057971,-3.517782389961255e-05,262,276,0.25,5.104123200002505
6,CSP+LDA,0.4697674418604651,0.29473714499467674,219,215,0.2558139534883721,0.8435709000004863
6,EEGNet,0.2558139534883721,0.0,219,215,0.2558139534883721,3.1863735000006272
7,CSP+LDA,0.5992779783393501,0.46876187843394723,271,277,0.23826714801444043,0.8477646999999706
7,EEGNet,0.27075812274368233,0.021064417929248735,271,277,0.23826714801444043,4.791974399999162
8,CSP+LDA,0.8302583025830258,0.7735965565463758,264,271,0.25092250922509224,0.857286499998736
8,EEGNet,0.7232472324723247,0.6308103100648466,264,271,0.25092250922509224,21.221528299996862
9,CSP+LDA,0.6590909090909091,0.5451412818745693,237,264,0.24621212121212122,0.6789255000003322
9,EEGNet,0.8143939393939394,0.752259843726061,237,264,0.24621212121212122,17.76165519999995
