,accuracy,accuracy,kappa,kappa
model,CSP+LDA,EEGNet,CSP+LDA,EEGNet
subject,,,,
1,0.8185053380782918,0.7864768683274022,0.7578895796729288,0.7154718509518023
2,0.47703180212014135,0.24734982332155478,0.30378989361702124,-0.0013455596531446457
3,0.7435897435897436,0.8754578754578755,0.6577905914796841,0.8338316117366942
4,0.6228070175438597,0.6535087719298246,0.49653366199352955,0.5369427734073731
5,0.358695652173913,0.2536231884057971,0.15321280615693944,-3.517782389961255e-05
6,0.4697674418604651,0.2558139534883721,0.29473714499467674,0.0
7,0.5992779783393501,0.27075812274368233,0.46876187843394723,0.021064417929248735
8,0.8302583025830258,0.7232472324723247,0.7735965565463758,0.6308103100648466
9,0.6590909090909091,0.8143939393939394,0.5451412818745693,0.752259843726061
