subject,session,run,total_trials,flagged_trials,kept_trials
1,T,1,48,2,46
1,T,2,48,4,44
1,T,3,48,3,45
1,T,4,48,1,47
1,T,5,48,2,46
1,T,6,48,3,45
1,E,1,48,3,45
1,E,2,48,2,46
1,E,3,48,1,47
1,E,4,48,1,47
1,E,5,48,0,48
1,E,6,48,0,48
2,T,1,48,0,48
2,T,2,48,2,46
2,T,3,48,3,45
2,T,4,48,3,45
2,T,5,48,2,46
2,T,6,48,8,40
2,E,1,48,2,46
2,E,2,48,1,47
2,E,3,48,1,47
2,E,4,48,0,48
2,E,5,48,0,48
2,E,6,48,1,47
3,T,1,48,3,45
3,T,2,48,4,44
3,T,3,48,1,47
3,T,4,48,7,41
3,T,5,48,2,46
3,T,6,48,1,47
3,E,1,48,2,46
3,E,2,48,5,43
3,E,3,48,0,48
3,E,4,48,4,44
3,E,5,48,0,48
3,E,6,48,4,44
4,T,1,48,1,47
4,T,2,48,3,45
4,T,3,48,2,46
4,T,4,48,6,42
4,T,5,48,9,39
4,T,6,48,5,43
4,E,1,48,13,35
4,E,2,48,11,37
4,E,3,48,12,36
4,E,4,48,8,40
4,E,5,48,12,36
4,E,6,48,4,44
5,T,1,48,7,41
5,T,2,48,2,46
5,T,3,48,2,46
5,T,4,48,7,41
5,T,5,48,6,42
5,T,6,48,2,46
5,E,1,48,6,42
5,E,2,48,3,45
5,E,3,48,1,47
5,E,4,48,0,48
5,E,5,48,2,46
5,E,6,48,0,48
6,T,1,48,5,43
6,T,2,48,15,33
6,T,3,48,13,35
6,T,4,48,10,38
6,T,5,48,7,41
6,T,6,48,19,29
6,E,1,48,8,40
6,E,2,48,20,28
6,E,3,48,22,26
6,E,4,48,5,43
6,E,5,48,14,34
6,E,6,48,4,44
7,T,1,48,3,45
7,T,2,48,4,44
7,T,3,48,4,44
7,T,4,48,4,44
7,T,5,48,2,46
7,T,6,48,0,48
7,E,1,48,1,47
7,E,2,48,3,45
7,E,3,48,1,47
7,E,4,48,3,45
7,E,5,48,2,46
7,E,6,48,1,47
8,T,1,48,5,43
8,T,2,48,3,45
8,T,3,48,5,43
8,T,4,48,5,43
8,T,5,48,3,45
8,T,6,48,3,45
8,E,1,48,3,45
8,E,2,48,3,45
8,E,3,48,1,47
8,E,4,48,3,45
8,E,5,48,1,47
8,E,6,48,6,42
9,T,1,48,11,37
9,T,2,48,11,37
9,T,3,48,7,41
9,T,4,48,6,42
9,T,5,48,10,38
9,T,6,48,6,42
9,E,1,48,3,45
9,E,2,48,1,47
9,E,3,48,5,43
9,E,4,48,5,43
9,E,5,48,5,43
9,E,6,48,5,43
